Season,Sprinkler,Rain,WetGrass,SlipperyRoad,Accident
Winter,Off,No,No,No,No
Summer,On,No,Yes,No,No
Monsoon,Off,Yes,Yes,Yes,No
Monsoon,Off,Yes,Yes,Yes,No
Winter,Off,Yes,Yes,Yes,No
Monsoon,Off,Yes,Yes,Yes,No
Monsoon,Off,Yes,Yes,Yes,No
Summer,On,No,Yes,No,No
Monsoon,Off,Yes,Yes,Yes,No
Summer,Off,No,No,No,No
Monsoon,Off,Yes,Yes,Yes,No
Monsoon,Off,Yes,Yes,Yes,No
Monsoon,Off,Yes,Yes,Yes,No
Monsoon,Off,Yes,Yes,Yes,No
Summer,On,No,Yes,No,No
Monsoon,Off,No,No,No,No
Summer,Off,No,No,No,No
Summer,On,No,Yes,No,No
Monsoon,Off,Yes,Yes,Yes,No
Monsoon,Off,Yes,Yes,Yes,No
Winter,Off,No,No,No,No
Summer,On,No,Yes,No,No
Monsoon,Off,Yes,Yes,Yes,No
Summer,On,No,Yes,No,No
Monsoon,Off,Yes,Yes,Yes,No
Summer,On,No,Yes,No,No
Monsoon,Off,No,No,No,No
Summer,On,No,Yes,No,No
Summer,On,No,Yes,No,No
Monsoon,Off,Yes,Yes,Yes,No
Summer,On,No,Yes,No,No
Summer,Off,No,No,No,No
Winter,Off,No,No,No,No
Monsoon,Off,Yes,Yes,Yes,No
Winter,Off,Yes,Yes,Yes,No
Monsoon,Off,No,No,No,No
Monsoon,Off,Yes,Yes,Yes,No
Summer,Off,No,No,No,No
Monsoon,Off,Yes,Yes,Yes,No
Summer,On,No,Yes,No,No
Summer,On,No,Yes,No,No
Monsoon,Off,Yes,Yes,Yes,No
Monsoon,Off,Yes,Yes,Yes,No
Summer,On,Yes,Yes,Yes,Yes
Monsoon,Off,Yes,Yes,Yes,No
Winter,Off,No,No,No,No
Summer,On,No,Yes,No,No
Winter,Off,Yes,Yes,Yes,No
Monsoon,Off,Yes,Yes,Yes,No
Winter,Off,No,No,No,No
Summer,Off,No,No,No,No
Winter,Off,No,No,No,No
Monsoon,Off,Yes,Yes,Yes,No
Summer,On,No,Yes,No,No
Summer,Off,No,No,No,No
Monsoon,Off,Yes,Yes,Yes,No
Monsoon,Off,Yes,Yes,Yes,No
Winter,Off,Yes,Yes,Yes,No
Monsoon,Off,No,No,No,No
Winter,Off,No,No,No,No
Summer,Off,No,No,No,No
Monsoon,Off,Yes,Yes,Yes,No
Monsoon,Off,Yes,Yes,Yes,No
Monsoon,Off,Yes,Yes,Yes,No
Winter,Off,No,No,No,No
Winter,Off,No,No,No,No
Summer,On,No,Yes,No,No
Summer,On,No,Yes,No,No
Summer,On,No,Yes,No,No
Monsoon,Off,Yes,Yes,Yes,No
Summer,On,No,Yes,No,No
Summer,On,No,Yes,No,No
Monsoon,Off,Yes,Yes,Yes,No
Summer,Off,No,No,No,No
Monsoon,Off,Yes,Yes,Yes,No
Monsoon,Off,Yes,Yes,Yes,No
Summer,On,No,Yes,No,No
Monsoon,Off,Yes,Yes,Yes,No
Monsoon,Off,Yes,Yes,Yes,No
Monsoon,Off,Yes,Yes,Yes,No
Winter,Off,Yes,Yes,Yes,Yes
Summer,On,No,Yes,No,No
Monsoon,Off,Yes,Yes,Yes,No
Winter,Off,No,No,No,No
Winter,Off,No,No,No,No
Monsoon,Off,Yes,Yes,Yes,No
Summer,On,No,Yes,No,No
Monsoon,Off,Yes,Yes,Yes,No
Monsoon,Off,Yes,Yes,Yes,No
Monsoon,Off,Yes,Yes,Yes,No
Summer,On,No,Yes,No,No
Monsoon,Off,No,No,No,No
Summer,On,No,Yes,No,No
Winter,Off,No,No,No,No
Summer,On,No,Yes,No,No
Monsoon,Off,Yes,Yes,Yes,No
Summer,On,No,Yes,No,No
Monsoon,Off,No,No,No,No
Monsoon,Off,No,No,No,No
Summer,Off,No,No,No,No
Summer,On,No,Yes,No,No
Monsoon,Off,Yes,Yes,Yes,No
Summer,On,No,Yes,No,No
Summer,Off,No,No,No,No
Monsoon,Off,Yes,Yes,Yes,No
Summer,On,No,Yes,No,No
Monsoon,Off,Yes,Yes,Yes,No
Monsoon,Off,Yes,Yes,Yes,No
Monsoon,Off,Yes,Yes,Yes,No
Summer,Off,No,No,No,No
Monsoon,Off,Yes,Yes,Yes,No
Monsoon,Off,Yes,Yes,Yes,No
Summer,On,No,Yes,No,No
Summer,On,No,Yes,No,No
Summer,On,No,Yes,No,No
Winter,Off,No,No,No,No
Monsoon,Off,Yes,Yes,Yes,No
Winter,Off,No,No,No,No
Summer,On,No,Yes,No,No
Monsoon,Off,Yes,Yes,Yes,No
Monsoon,Off,No,No,No,No
Summer,Off,No,No,No,No
Monsoon,Off,Yes,Yes,Yes,No
Monsoon,Off,Yes,Yes,Yes,No
Winter,Off,Yes,Yes,Yes,No
Monsoon,Off,Yes,Yes,Yes,No
Winter,Off,No,No,No,No
Winter,Off,No,No,No,No
Monsoon,Off,Yes,Yes,Yes,No
Monsoon,Off,Yes,Yes,Yes,No
Monsoon,Off,No,No,No,No
Winter,Off,No,No,No,No
Winter,Off,No,No,No,No
Monsoon,Off,No,No,No,No
Summer,On,No,Yes,No,No
Winter,Off,No,No,No,No
Monsoon,Off,Yes,Yes,Yes,No
Summer,On,No,Yes,No,No
Summer,On,No,Yes,No,No
Monsoon,Off,Yes,Yes,Yes,No
Monsoon,Off,Yes,Yes,Yes,No
Monsoon,Off,Yes,Yes,Yes,No
Summer,On,No,Yes,No,No
Monsoon,Off,Yes,Yes,Yes,No
Summer,Off,No,No,No,No
Monsoon,Off,Yes,Yes,Yes,No
Monsoon,Off,Yes,Yes,Yes,No
Summer,On,No,Yes,No,No
Monsoon,Off,Yes,Yes,Yes,No
Summer,On,No,Yes,No,No
Summer,Off,Yes,Yes,Yes,No
Monsoon,Off,Yes,Yes,Yes,No
Summer,On,No,Yes,No,No
Summer,On,No,Yes,No,No
Monsoon,Off,Yes,Yes,Yes,No
Winter,Off,No,No,No,No
Monsoon,Off,Yes,Yes,Yes,No
Monsoon,Off,Yes,Yes,Yes,No
Monsoon,Off,No,No,No,No
Monsoon,Off,Yes,Yes,Yes,No
Monsoon,Off,Yes,Yes,Yes,No
Summer,On,No,Yes,No,No
Monsoon,Off,Yes,Yes,Yes,No
Summer,On,No,Yes,No,No
Summer,On,No,Yes,No,No
Monsoon,Off,No,No,No,No
Summer,On,No,Yes,No,No
Monsoon,Off,Yes,Yes,Yes,No
Monsoon,Off,Yes,Yes,Yes,No
Monsoon,Off,No,No,No,No
Summer,Off,No,No,No,No
Winter,Off,No,No,No,No
Monsoon,Off,Yes,Yes,Yes,No
Summer,On,No,Yes,No,No
Monsoon,Off,No,No,No,No
Winter,Off,No,No,No,No
Winter,Off,Yes,Yes,Yes,No
Summer,Off,No,No,No,No
Winter,Off,No,No,No,No
Summer,Off,No,No,No,No
Monsoon,Off,Yes,Yes,Yes,No
Summer,On,No,Yes,No,No
Monsoon,Off,Yes,Yes,Yes,No
Winter,Off,No,No,No,No
Monsoon,Off,Yes,Yes,Yes,No
Monsoon,Off,Yes,Yes,Yes,No
Monsoon,Off,Yes,Yes,Yes,No
Monsoon,Off,Yes,Yes,Yes,No
Monsoon,Off,Yes,Yes,Yes,No
Summer,On,No,Yes,No,No
Winter,Off,No,No,No,No
Monsoon,Off,Yes,Yes,Yes,No
Monsoon,Off,Yes,Yes,Yes,No
Monsoon,Off,No,No,No,No
Summer,Off,No,No,No,No
Monsoon,Off,Yes,Yes,Yes,No
Monsoon,Off,No,No,No,No
Summer,On,No,Yes,No,No
Monsoon,Off,Yes,Yes,Yes,No
Summer,On,No,Yes,No,No
Summer,Off,No,No,No,No
Monsoon,Off,Yes,Yes,Yes,No
Summer,On,No,Yes,No,No
Monsoon,Off,Yes,Yes,Yes,No
Monsoon,Off,Yes,Yes,Yes,No
Winter,Off,No,No,No,No
Winter,Off,No,No,No,No
Monsoon,Off,Yes,Yes,Yes,No
Summer,On,No,Yes,No,No
Summer,On,No,Yes,No,No
Monsoon,Off,Yes,Yes,Yes,No
Summer,On,No,Yes,No,No
Winter,Off,No,No,No,No
Monsoon,Off,Yes,Yes,Yes,No
Summer,On,No,Yes,No,No
Monsoon,Off,No,No,No,No
Monsoon,Off,Yes,Yes,Yes,No
Summer,On,No,Yes,No,No
Winter,Off,No,No,No,No
Monsoon,Off,Yes,Yes,Yes,No
Monsoon,Off,Yes,Yes,Yes,No
Winter,Off,Yes,Yes,Yes,No
Summer,On,No,Yes,No,No
Monsoon,Off,No,No,No,No
Summer,On,No,Yes,No,No
Summer,On,No,Yes,No,No
Winter,Off,No,No,No,No
Winter,Off,No,No,No,No
Summer,On,No,Yes,No,No
Winter,Off,No,No,No,No
Winter,Off,No,No,No,No
Winter,Off,No,No,No,No
Summer,On,No,Yes,No,No
Monsoon,Off,Yes,Yes,Yes,No
Summer,On,No,Yes,No,No
Monsoon,Off,Yes,Yes,Yes,No
Monsoon,Off,No,No,No,No
Monsoon,Off,Yes,Yes,Yes,No
Monsoon,Off,Yes,Yes,Yes,No
Summer,On,No,Yes,No,No
Summer,Off,No,No,No,No
Summer,Off,No,No,No,No
Monsoon,Off,Yes,Yes,Yes,No
Monsoon,Off,Yes,Yes,Yes,No
Summer,Off,No,No,No,No
Summer,Off,No,No,No,No
